2010_ham	0	a	I cant keep going through this It was never my intention to run you out but if you choose to do that rather than keep the room clean so I dont have to say no to visitors then maybe thats the best choice Yes I wanted you to be embarassed so maybe youd feel for once how I feel when i have a friend who wants to drop buy and i have to say no as happened this morning Ive tried everything I dont know what else to do
2077_ham	0	a	Trust me Even if isnt there its there
5347_ham	0	a	No sir Thats why i had an 8hr trip on the bus last week Have another audition next wednesday but i think i might drive this time
1533_ham	0	a	Unfortunately ive just found out that we have to pick my sister up from the airport that evening so dont think ill be going out at all We should try to go out one of th
2467_ham	0	a	He is world famamus
5170_ham	0	a	Im in school now n ill be in da lab doing some stuff give me a call when ü r done
469_ham	0	a	Yup no need Ill jus wait 4 e rain 2 stop
641_ham	0	a	Well imma definitely need to restock before thanksgiving Ill let you know when Im out
3852_ham	0	a	We have all rounderso not required
1427_ham	0	a	Ok
2729_spam	1	a	Urgent Please call 09066612661 from landline 5000 cash or a luxury 4 Canary Islands Holiday await collection TCs SAE award 20M12AQ 150ppm 16 
2650_ham	0	a	You might want to pull out more just in case and just plan on not spending it if you can I dont have much confidence in derek and taylors money management
163_ham	0	a	Im so in love with you Im excited each day i spend with you You make me so happy
568_ham	0	a	So anyways you can just go to your gym or whatever my love smiles I hope your ok and having a good day babe  I miss you so much already
384_ham	0	a	Hey i will be late ah Meet you at 945
4655_ham	0	a	Hope you are having a great day
975_ham	0	a	Eh u send wrongly lar
117_spam	1	a	You are a winner U have been specially selected 2 receive 1000 or a 4 holiday flights inc speak to a live operator 2 claim 0871277810910pmin 18 
733_ham	0	a	Lol you wont feel bad when I use her money to take you out to a steak dinner D
5128_ham	0	a	Wot about on wed nite I am 3 then but only til 9
4269_ham	0	a	Hey so whats the plan this sat 
1140_ham	0	a	Messagesome text missing SenderName Missing Number Missing SentDate missing Missing U a lot thats y everything is missing sent via fullonsmscom
785_ham	0	a	Dont think so It turns off like randomlly within 5min of opening
1569_ham	0	a	Today is ACCEPT DAYU Accept me as Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
403_ham	0	a	The hair cream has not been shipped
953_ham	0	a	Beautiful Truth against Gravity Read carefully Our heart feels light when someone is in it But it feels very heavy when someone leaves it GOOD NIGHT
1021_ham	0	a	Good afternoon on this glorious anniversary day my sweet J  I hope this finds you happy and content my Prey I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers  You CougarPen
3918_ham	0	a	Eh ur laptop got no stock lei He say mon muz come again to take a look c got a not
2581_spam	1	a	U are subscribed to the best Mobile Content Service in the UK for 3 per ten days until you send STOP to 83435 Helpline 08706091795
2844_ham	0	a	Tunji hows the queen how are you doing This is just wishing you a great day Abiola
263_ham	0	a	MY NO IN LUTON 0125698789 RING ME IF UR AROUND H
2505_ham	0	a	Hello my boytoy I made it home and my constant thought is of you my love I hope your having a nice visit but I cant wait till you come home to me kiss
3078_ham	0	a	There is no sense in my foot and penis
299_ham	0	a	I cant pick the phone right now Pls send a message
1117_ham	0	a	Hey What time is your driving on fri We go for evaluation on fri
1997_ham	0	a	Lol boo I was hoping for a laugh
3312_ham	0	a	HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE IJUST TALKED TO YOUR MUM ALL MORNING I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN
48_ham	0	a	Yeah hopefully if tyler cant do it I could maybe ask around a bit
1336_ham	0	a	Sometimes we put walls around our heartsnot just to be safe from getting hurt But to find out who cares enough to break the walls amp get closer GOODNOON
3123_spam	1	a	Free entry in 2 a weekly comp for a chance to win an ipod Txt POD to 80182 to get entry std txt rate TCs apply 08452810073 for details 18
4345_ham	0	a	Hidid you asked to waheeda fathima about leave
5281_ham	0	a	And how you will do that princess 
3158_ham	0	a	Havent shopping now lor i juz arrive only
3127_ham	0	a	U coming 2 pick me
1299_ham	0	a	Your daily text from me  a favour this time
3147_ham	0	a	SHIT BABE THASA BIT MESSED UPYEH SHE SHUDVETOLD U DID URGRAN KNOWNEWAY ILLSPEAK 2 U2MORO WEN IM NOT ASLEEP
3492_ham	0	a	Ok
520_ham	0	a	Usually the person is unconscious thats in children but in adults they may just behave abnormally Ill call you now
359_ham	0	a	Im an actor When i work i work in the evening and sleep late Since im unemployed at the moment i ALWAYS sleep late When youre unemployed every day is saturday
1311_ham	0	a	Ill always be there even if its just in spirit Ill get a bb soon Just trying to be sure i need it
3020_ham	0	a	Wat time do u wan 2 meet me later
1785_ham	0	a	Dont search love let love find U Thats why its called falling in love bcoz U dont force yourself U just fall and U know there is smeone to hold U BSLVYL
2977_ham	0	a	I love u 2 my little pocy bell I am sorry but I love u
